Quantity,Order Price (Minutes),Created at,Frozen Unit Price (Minutes),Item: Image,Address: Country,Full Name (from Item)
1,1200,9/11/2024 9:54pm,1200,https://cloud-4qxzmw5wz-hack-club-bot.vercel.app/1pinetime.png,India,PineTime by PINE64
1,4740,9/8/2024 2:18am,4740,https://cloud-837rvecwy-hack-club-bot.vercel.app/0111851_sp880-airpods-pro-2nd-gen.png,Bangladesh,AirPods Pro 
1,4740,9/9/2024 9:20pm,4740,https://cloud-837rvecwy-hack-club-bot.vercel.app/0111851_sp880-airpods-pro-2nd-gen.png,Pakistan,AirPods Pro 
2,1440,9/11/2024 9:45pm,720,https://cloud-elfpck7gj-hack-club-bot.vercel.app/0screenshot_2024-06-14_at_07.42.35.png,India,YubiKey 
1,900,9/11/2024 9:50pm,900,https://cloud-5di8nhlvy-hack-club-bot.vercel.app/0image.png,India,Raspberry Pi Zero 2W Kit
3,720,9/12/2024 10:23am,240,https://cloud-nozsvexvx-hack-club-bot.vercel.app/0universal_paperclips_title_screen.png,,OpenAI credits 
3,720,9/12/2024 10:22am,240,https://cloud-4qxzmw5wz-hack-club-bot.vercel.app/2screenshot_2024-08-26_at_1.14.03___pm.png,,Anthropic credits 
1,4740,9/8/2024 3:11pm,4740,https://cloud-837rvecwy-hack-club-bot.vercel.app/0111851_sp880-airpods-pro-2nd-gen.png,India,AirPods Pro 
1,24000,9/10/2024 12:25am,24000,https://cloud-9zwbzfbtw-hack-club-bot.vercel.app/00image_from_ios-removebg-preview.png,India,MacBook Air M2
1,9600,9/3/2024 12:40pm,9600,https://cloud-k0uz9sh1c-hack-club-bot.vercel.app/2ipad.png,Sweden,iPad 10th Gen + 1st Gen Apple Pencil
1,4500,8/15/2024 3:13pm,4500,https://cloud-gt96uxjmh-hack-club-bot.vercel.app/061__ok6aqtl._ac_uf894_1000_ql80_.png,India,Logitech MX Mechanical
1,24000,8/31/2024 8:17pm,24000,https://cloud-9zwbzfbtw-hack-club-bot.vercel.app/00image_from_ios-removebg-preview.png,Canada,MacBook Air M2
1,5400,9/9/2024 10:02pm,5400,https://cloud-c6nos84m4-hack-club-bot.vercel.app/061zj7gvrvsl._ac_sx679_.png,United States,Wacom One display
1,480,9/12/2024 10:42am,480,https://cloud-4qxzmw5wz-hack-club-bot.vercel.app/0glue.png,India,Hot glue gun 
1,360,9/12/2024 10:23am,360,https://cloud-ogt9k4r4u-hack-club-bot.vercel.app/0breadboard.png,India,Breadboard + jumper wires
1,480,9/12/2024 10:24am,480,https://cloud-amz50nt0a-hack-club-bot.vercel.app/0soldering_iron.png,India,Soldering iron + solder
1,9600,9/2/2024 8:38pm,9600,https://cloud-k0uz9sh1c-hack-club-bot.vercel.app/2ipad.png,Canada,iPad 10th Gen + 1st Gen Apple Pencil
1,9600,9/2/2024 8:52am,9600,https://cloud-k0uz9sh1c-hack-club-bot.vercel.app/2ipad.png,Italy,iPad 10th Gen + 1st Gen Apple Pencil
1,10080,8/28/2024 1:56pm,10080,https://cloud-bscuvqen5-hack-club-bot.vercel.app/045ee3bbe-1519-481a-908e-781f1323a72e-4_f7e8a61e-ae12-4b8d-9c20-68c38709be13.png,United States,ThinkPad T490 (14-inch model)
1,9600,9/9/2024 9:04pm,9600,https://cloud-k0uz9sh1c-hack-club-bot.vercel.app/2ipad.png,Saudi Arabia,iPad 10th Gen + 1st Gen Apple Pencil
1,9600,8/30/2024 12:44am,9600,https://cloud-k0uz9sh1c-hack-club-bot.vercel.app/2ipad.png,Canada,iPad 10th Gen + 1st Gen Apple Pencil
1,1020,9/11/2024 10:50pm,1020,https://cloud-eiuq0wqao-hack-club-bot.vercel.app/0onebywacom.png,India,One by Wacom
1,300,9/11/2024 10:58pm,300,https://cloud-re8ou8f0i-hack-club-bot.vercel.app/0image.png,India,Logic Analyzer 
1,3000,9/9/2024 11:08pm,3000,https://cloud-ephagrx6o-hack-club-bot.vercel.app/1keeb.png,United States,Keychron US K6 Pro
1,1020,9/9/2024 11:17pm,1020,https://cloud-eiuq0wqao-hack-club-bot.vercel.app/0onebywacom.png,United States,One by Wacom
1,420,9/9/2024 11:22pm,420,https://cloud-fyxfbdwdl-hack-club-bot.vercel.app/0multimeter.png,United States,Multimeter 
1,9600,9/5/2024 10:51pm,9600,https://cloud-k0uz9sh1c-hack-club-bot.vercel.app/2ipad.png,Canada,iPad 10th Gen + 1st Gen Apple Pencil
1,420,8/27/2024 2:58pm,420,https://cloud-fyxfbdwdl-hack-club-bot.vercel.app/0multimeter.png,Canada,Multimeter 
1,1500,8/27/2024 2:57pm,1500,https://cloud-bi9lc9poq-hack-club-bot.vercel.app/0intuos.png,Canada,Wacom Intuos S
1,840,9/4/2024 4:27pm,840,https://cloud-3lhacr9fo-hack-club-bot.vercel.app/061ix8eet_dl._ac_sx679_.png,Spain,Pinecil 
1,120,9/9/2024 5:23pm,120,https://cloud-50x4zfjwx-hack-club-bot.vercel.app/0enjoy_1.png,Germany,Sticker of your choice
1,240,9/10/2024 12:25am,240,https://cloud-5ttcbislu-hack-club-bot.vercel.app/2screenshot_2024-06-16_at_19.34.55.png,,Domain for 1 year
10,2400,9/9/2024 11:54pm,240,https://cloud-5ttcbislu-hack-club-bot.vercel.app/2screenshot_2024-06-16_at_19.34.55.png,,Domain for 1 year
1,4200,8/27/2024 4:42pm,4200,https://cloud-p2gdpsmd3-hack-club-bot.vercel.app/0top.png,United Kingdom,Flipper Zero
1,4200,8/31/2024 7:41am,4200,https://cloud-p2gdpsmd3-hack-club-bot.vercel.app/0top.png,Italy,Flipper Zero
1,4200,8/26/2024 10:47pm,4200,https://cloud-p2gdpsmd3-hack-club-bot.vercel.app/0top.png,United Kingdom,Flipper Zero
1,9600,9/2/2024 10:29pm,9600,https://cloud-k0uz9sh1c-hack-club-bot.vercel.app/2ipad.png,United States,iPad 10th Gen + 1st Gen Apple Pencil
1,9600,9/4/2024 10:48am,9600,https://cloud-k0uz9sh1c-hack-club-bot.vercel.app/2ipad.png,United States,iPad 10th Gen + 1st Gen Apple Pencil
1,4200,8/30/2024 11:07am,4200,https://cloud-p2gdpsmd3-hack-club-bot.vercel.app/0top.png,France,Flipper Zero
1,9600,9/5/2024 5:52pm,9600,https://cloud-k0uz9sh1c-hack-club-bot.vercel.app/2ipad.png,United States,iPad 10th Gen + 1st Gen Apple Pencil
1,9600,9/9/2024 3:13pm,9600,https://cloud-k0uz9sh1c-hack-club-bot.vercel.app/2ipad.png,United States,iPad 10th Gen + 1st Gen Apple Pencil
1,300,9/10/2024 7:40pm,300,https://cloud-ijdgy1kv8-hack-club-bot.vercel.app/0group_1.png,Canada,2 Arcade Posters 11x17 inches. Designed by Acon & Krishna. Good for bedroom walls.
1,9600,9/2/2024 11:28am,9600,https://cloud-k0uz9sh1c-hack-club-bot.vercel.app/2ipad.png,United States,iPad 10th Gen + 1st Gen Apple Pencil
1,12000,9/2/2024 12:31pm,12000,https://cloud-7x2qyu0b9-hack-club-bot.vercel.app/0screenshot_2024-06-14_at_08.46.20.png,United States,Quest 3
1,8100,9/4/2024 10:33am,8100,https://cloud-n8ijhwk64-hack-club-bot.vercel.app/0a1_mini.png,United States,Bambu Lab A1 mini
1,8100,9/5/2024 7:53am,8100,https://cloud-n8ijhwk64-hack-club-bot.vercel.app/0a1_mini.png,United States,Bambu Lab A1 mini
1,4200,9/2/2024 1:37am,4200,https://cloud-p2gdpsmd3-hack-club-bot.vercel.app/0top.png,United States,Flipper Zero
1,4200,8/31/2024 4:49pm,4200,https://cloud-p2gdpsmd3-hack-club-bot.vercel.app/0top.png,Germany,Flipper Zero
1,4200,8/28/2024 12:21pm,4200,https://cloud-p2gdpsmd3-hack-club-bot.vercel.app/0top.png,United States,Flipper Zero
1,60,9/10/2024 2:37pm,60,https://cloud-c1gqq7ttf-hack-club-bot.vercel.app/0sticker_pile_2.png,Egypt,Pile of stickers 
3,180,9/10/2024 7:45pm,60,https://cloud-c1gqq7ttf-hack-club-bot.vercel.app/0sticker_pile_2.png,Canada,Pile of stickers 
1,480,9/9/2024 11:43pm,480,https://cloud-amz50nt0a-hack-club-bot.vercel.app/0soldering_iron.png,New Zealand,Soldering iron + solder
1,1500,9/4/2024 5:05am,1500,https://cloud-bi9lc9poq-hack-club-bot.vercel.app/0intuos.png,New Zealand,Wacom Intuos S
1,8100,9/1/2024 11:29am,8100,https://cloud-n8ijhwk64-hack-club-bot.vercel.app/0a1_mini.png,Canada,Bambu Lab A1 mini
1,360,9/10/2024 11:52am,360,https://cloud-ogt9k4r4u-hack-club-bot.vercel.app/0breadboard.png,United States,Breadboard + jumper wires
1,9600,9/1/2024 2:29pm,9600,https://cloud-k0uz9sh1c-hack-club-bot.vercel.app/2ipad.png,Poland,iPad 10th Gen + 1st Gen Apple Pencil
1,8100,9/1/2024 8:34am,8100,https://cloud-n8ijhwk64-hack-club-bot.vercel.app/0a1_mini.png,Germany,Bambu Lab A1 mini
1,840,9/9/2024 8:24pm,840,https://cloud-3lhacr9fo-hack-club-bot.vercel.app/061ix8eet_dl._ac_sx679_.png,United States,Pinecil 
1,9600,9/1/2024 8:32am,9600,https://cloud-k0uz9sh1c-hack-club-bot.vercel.app/2ipad.png,Germany,iPad 10th Gen + 1st Gen Apple Pencil
1,12000,8/22/2024 5:25am,12000,https://cloud-7x2qyu0b9-hack-club-bot.vercel.app/0screenshot_2024-06-14_at_08.46.20.png,Germany,Quest 3
1,60,9/9/2024 11:03pm,60,https://cloud-c1gqq7ttf-hack-club-bot.vercel.app/0sticker_pile_2.png,United States,Pile of stickers 
1,240,9/10/2024 2:55am,240,https://cloud-5ttcbislu-hack-club-bot.vercel.app/2screenshot_2024-06-16_at_19.34.55.png,,Domain for 1 year
1,240,9/10/2024 2:44am,240,https://cloud-5ttcbislu-hack-club-bot.vercel.app/2screenshot_2024-06-16_at_19.34.55.png,,Domain for 1 year
10,2400,9/9/2024 11:55pm,240,https://cloud-5ttcbislu-hack-club-bot.vercel.app/2screenshot_2024-06-16_at_19.34.55.png,,Domain for 1 year
1,240,9/9/2024 11:48pm,240,https://cloud-5ttcbislu-hack-club-bot.vercel.app/2screenshot_2024-06-16_at_19.34.55.png,,Domain for 1 year
1,240,9/9/2024 1:07am,240,https://cloud-5ttcbislu-hack-club-bot.vercel.app/2screenshot_2024-06-16_at_19.34.55.png,,Domain for 1 year
